"","Fairway Percentage","Avg Distance","gir","Average Putts","Average Scrambling","Average Score","Average SG Putts","Average SG Total","SG:OTT","SG:APR","SG:ARG","Top_25","Top_10"
"90",64.1,286.2,66.43,29.01,61.21,70.478,0.212,0.563,-0.223,0.645,-0.071,"Yes","No"
"91",67.7,281.4,64.44,29.22,58.85,70.899,-0.208,-0.178,-0.129,0.161,-0.003,"No","No"
"93",58.51,298.4,67.05,28.83,61.65,70.235,0.56,0.777,0.009,0.207,0,"Yes","No"
"94",55.01,299.2,64.83,28.88,60.1,70.463,0.592,0.574,-0.344,0.2,0.127,"No","No"
"95",69.91,296.4,73.52,29.87,62.24,69.354,0.436,2.21,0.448,1.244,0.082,"Yes","No"
"96",75.19,291.5,73.51,29.93,60.67,69.617,-0.207,1.153,0.427,0.96,-0.027,"No","No"
"97",65.25,294.5,69.2,28.79,61.92,69.94,0.076,1.464,0.496,0.637,0.254,"Yes","Yes"
"98",62.04,294.5,68.11,28.82,60.86,70.034,-0.025,1.29,0.527,0.774,0.015,"Yes","No"
"100",62.82,302,69.29,29.21,60.8,70.022,0.132,1.196,0.194,0.727,0.143,"Yes","No"
"101",61.43,306.9,68.8,29.48,54.97,70.875,0.203,0.302,0.403,0.275,-0.578,"No","No"
"103",58.91,295.1,65.79,28.98,59.6,71.124,0.39,0.12,-0.023,-0.249,0.003,"No","No"
"104",63.58,286.7,65.71,28.81,60.76,70.421,0.225,0.554,-0.054,0.235,0.147,"No","No"
"106",66.41,293.6,67.01,28.97,57.11,70.593,0.223,0.85,0.141,0.435,0.051,"No","No"
"107",54.05,309.9,63.66,28.32,59.35,70.581,-0.004,0.944,0.427,0.253,0.268,"Yes","Yes"
"108",51.68,314.5,65.17,28.84,56.68,70.523,-0.153,0.481,0.633,-0.208,0.209,"Yes","Yes"
"109",66.18,298.2,69.48,29.63,55.76,70.525,-0.149,0.292,0.286,0.41,-0.255,"No","No"
"110",59.89,295.1,66.13,29,58.46,70.896,0.048,0.355,0.106,0.135,0.065,"No","No"
"111",60.71,290.9,64.58,29.47,55.72,71.245,-0.245,-0.244,-0.025,-0.089,0.116,"Yes","No"
"113",57.32,304.8,65.32,28.9,61.44,70.896,0.142,0.463,0.532,-0.497,0.286,"No","No"
"115",71.58,277.1,68.89,28.54,60.9,70.235,0.239,0.777,0.019,0.561,-0.042,"No","No"
