"","Top_25","Top_10","Rounds","Fairway Percentage","Avg Distance","gir","Average Putts","Average Scrambling","Average Score","Average SG Putts","Average SG Total","SG:OTT","SG:APR","SG:ARG"
"228","No","No",104,66.23,299.4,68.93,29.36,59.49,70.437,-0.216,0.629,0.625,0.139,0.004
"229","No","No",98,67.9,299.6,69.18,29.68,56.78,70.303,-0.358,0.793,0.237,0.888,0.026
"231","No","No",75,60.06,291.9,63.15,29.32,53.5,71.491,-0.157,-0.681,-0.205,0.159,-0.479
"233","No","No",93,67.91,278.1,64.17,29.01,58.71,71.306,-0.222,-0.378,0.067,0.025,-0.248
"236","No","No",93,60.68,296.3,66.37,29.04,59.15,70.501,-0.31,0.77,0.321,0.634,0.126
"237","Yes","Yes",95,57.61,304.7,65.05,29.35,56.56,70.779,-0.303,0.459,0.442,0.294,0.106
"240","No","No",105,67,288.7,66.43,28.79,62.5,70.294,0.388,1.148,0.257,0.334,0.065
"241","No","No",89,66.33,290.8,65.38,28.91,60.29,70.729,0.513,0.037,-0.043,-0.316,-0.118
"242","No","No",98,62.51,280.1,64.56,28.35,62.87,70.121,0.233,0.944,-0.329,0.381,0.66
"244","No","No",86,60.46,283.6,65.46,28.79,62.06,70.399,0.265,0.755,-0.406,0.631,0.288
"245","Yes","No",91,64.13,289.6,64.66,28.07,63.62,70.288,0.533,0.801,-0.378,0.273,0.373
"248","No","No",94,69.11,295.1,71.56,29.67,60.93,70.436,-0.25,0.619,0.439,0.415,0.014
"249","No","No",96,52.48,309.2,64.71,28.86,59.03,70.868,0.261,0.433,0.288,-0.168,0.053
"250","No","No",110,52.61,310.1,66.88,29.15,56.77,70.8,0.052,0.329,0.271,0.032,-0.026
"251","Yes","Yes",96,61.59,288,67.03,29.16,61.36,70.854,0.036,0.136,0.108,-0.084,0.076
"252","No","No",115,65.29,287.3,67.62,29.34,55.95,70.965,0.102,0.148,0.112,0.061,-0.127
"253","No","No",104,68.55,296.5,70.39,29.63,58.35,69.989,-0.309,0.951,0.659,0.562,0.038
"254","No","No",93,71.29,295.7,71.09,29.89,54.8,70.404,0.037,0.686,0.378,0.298,-0.027
"255","Yes","No",69,59.98,295.2,65.13,28.91,62.91,70.22,0.53,1.179,0.301,0.215,0.189
"256","No","No",62,64.81,299.8,65.74,29.24,64.26,70.157,-0.026,0.521,0.401,-0.261,0.408
"258","No","No",93,65.31,298.1,70.08,29.52,60.13,70.139,-0.026,0.933,0.502,0.301,0.14
"260","No","No",81,56.69,282.9,64.61,28.95,64.15,70.918,0.148,0.378,-0.665,0.465,0.429
"261","No","No",50,56.5,278.5,61.92,28.56,59.88,70.831,0.704,0.047,-1.001,-0.078,0.422
"262","Yes","No",79,50.98,306.9,67.17,29.14,60.88,70.754,-0.273,0.436,0.427,0.278,0.004
"263","No","No",102,55.63,311.5,69.1,29.52,56.33,70.428,-0.426,0.691,0.6,0.443,0.074
"264","No","No",98,54.66,314.6,68.36,29.45,58.41,70.229,-0.467,0.87,0.795,0.194,0.349
"265","No","No",106,59.63,294.3,64.74,29.07,58.64,71.044,0.492,0.172,0.021,-0.404,0.063
"267","Yes","Yes",89,60.55,295,65.31,28.85,60.34,70.554,0.252,0.51,0.159,-0.092,0.191
"269","No","No",93,60.17,298.5,66.67,28.94,59.07,70.26,0.126,0.624,-0.006,0.211,0.292
"271","No","No",88,52.79,300.6,70.64,29.86,57.01,70.885,0.242,-0.015,-0.024,0.047,-0.28
"272","Yes","No",82,55.14,298.5,67.66,29.31,58.37,70.867,0.157,0.297,-0.213,0.297,0.057
"273","Yes","No",83,64.82,296.1,65.61,28.92,60.94,70.45,0.253,0.811,0.235,0.139,0.203
"274","No","No",73,63.22,299,65.9,28.83,59.15,70.839,0.282,0.47,-0.045,0.024,0.209
"275","No","No",73,51.52,286.6,58.1,28.67,55.87,72.419,0.075,-0.968,-0.925,-0.074,-0.044
"276","Yes","No",89,59.7,296,64.05,28.25,61.27,70.812,0.401,0.664,0.249,-0.319,0.333
"277","Yes","Yes",100,65.67,285.8,67.82,29.02,61.51,69.844,0.381,1.314,0.364,0.326,0.242
"278","Yes","No",95,65.36,285.1,66.6,28.7,65.78,69.806,0.332,1.106,0.158,0.253,0.43
"279","No","No",88,63.27,288,66.81,28.85,63.6,70.461,0.348,0.576,-0.199,0.216,0.211
"284","Yes","No",85,54.83,296.1,61.11,28.29,59.16,70.988,0.232,0.196,-0.032,-0.347,0.343
"285","No","No",71,57.8,294.4,63.27,28.94,58.24,71.372,0.208,-0.116,-0.07,-0.192,-0.062
"286","No","No",92,60.39,293.9,63.57,28.81,60.14,71.107,0.078,-0.06,0.165,-0.419,0.115
"288","No","No",83,57.21,296.2,65.82,29,59.26,71.281,-0.154,-0.068,0.149,0.06,-0.123
"291","Yes","No",91,61.08,294,67.34,29.32,58.69,70.68,-0.403,0.258,0.31,0.238,0.112
"293","Yes","No",94,56.33,307.5,67.96,29.26,55.68,70.862,0.2,0.343,0.17,0.141,-0.167
"296","No","No",60,51.72,290.5,61.02,29.15,57.01,71.95,-0.493,-0.756,-0.434,-0.165,0.336
"297","No","No",54,60.66,289.6,62.96,28.7,60,71.032,-0.342,-0.067,-0.292,0.159,0.408
"298","No","No",96,65.7,284.6,67.88,28.71,60,70.666,0.364,0.586,-0.01,0.187,0.045
"299","No","No",93,61.46,290.6,66.04,28.66,63.38,70.25,0.346,0.877,-0.147,0.222,0.44
"300","No","No",82,65.09,290.9,67.78,29.29,55.63,70.594,0.115,-0.048,-0.063,-0.138,0.037
"301","Yes","No",52,61.47,298.9,69.21,29.19,60.15,69.971,0.159,1.269,0.623,0.467,0.021
"302","Yes","Yes",87,61.58,303.1,70.69,29.8,57.58,69.899,-0.182,1.096,0.622,0.509,0.146
"303","Yes","No",107,56.52,295.3,62.09,28.33,60.92,70.453,0.577,0.893,0.199,-0.049,0.25
"304","No","No",94,55.11,298.1,63.57,28.33,62.94,70.106,0.164,0.947,0.051,0.187,0.545
"307","No","No",93,55.23,291.3,64.48,28.88,56.24,70.921,0.46,0.382,-0.343,0.37,-0.105
